Brand,Name,Top,Middle,Base,Gender,Year
Yves Saint Laurent,Libre Le Parfum,"Ginger, Saffron, Mandarin Orange, Bergamot","Orange Blossom, Lavender","Bourbon Vanilla, Honey, Tonka Bean, Vetiver",Women,2022
Givenchy,L'Interdit Eau de Parfum Rouge,"Ginger, Blood Orange","Tuberose, Jasmine, Pimento Leaf","Sandalwood, Patchouli, Vetiver",Women,2022
Kilian,Angels' Share Anniversary Edition,"Cognac","Oak, Cinnamon, Tonka Bean","Vanilla, Praline, Sandalwood",Women,2022
Jean Paul Gaultier,La Belle Le Parfum,"Pear","Tonka Bean, Jasmine","Vanilla",Women,2022
Narciso Rodriguez,Musc Noir Rose For Her,"Plum, Pink Pepper, Bergamot","Musk, Rose, Tuberose","Vanilla",Women,2022
Guerlain, Shalimar Millésime Tonka,"Bitter Almond, Bergamot","Iris, Jasmine Sambac, Rose","Tonka Bean, Vanilla",Women,2022
Parfums de Marly, Delina La Rosée,"Litchi, Pear, Bergamot","Turkish Rose, Peony, Watery Notes, Floral Notes","White Musk, Woody Notes, Haitian Vetiver",Women, 2022
Mugler, Alien Goddess Intense,"Coconut, Bergamot","Jasmine, Jasmine Tea","Vanilla, Benzoin, Cashmere Wood", Women, 2022
Carolina Herrera, Very Good Girl,"Litchi, Red Currant","Rose","Vanilla, Vetiver", Women, 2022
Dior, Vanilla Diorama,"Orange, Pink Pepper, Lemon","Rum, Cacao, Cardamom","Bourbon Vanilla, Sandalwood, Patchouli", Women, 2022
Dior, Sauvage Elixir,"Nutmeg, Cinnamon, Cardamom, Grapefruit","Lavender","Licorice, Sandalwood, Amber, Patchouli, Haitian Vetiver", Men, 2022
Givenchy, Gentleman Eau de Parfum Reserve Privée,"Bergamot","Iris, Chestnut","Whiskey, Woody Notes, Amber", Men, 2022
Tom Ford, Ombré Leather Parfum,"Violet Leaf, Cedar","Jasmine Sambac, Orris","Leather, Woody Notes, Tobacco", Men, 2022
Yves Saint Laurent, La Nuit de L'Homme Bleu Électrique,"Cardamom, Ginger, Bergamot","Lavender, Geranium","Cedar, Vetiver", Men, 2022
Giorgio Armani, Emporio Armani Stronger With You Absolutely,"Rum, Elemi, Bergamot","Lavender, Davana","Madagascar Vanilla, Chestnut, Cedar, Patchouli", Men, 2022
Dior, Dior Homme Original,"Tuscan Iris","Guatemalan Cardamom","Vetiver", Men, 2022
Hermès, Terre d'Hermes Eau Givree,"Citron","Juniper Berries, Timur","Woody Notes, Mineral Notes", Men, 2022
Kilian, Angels' Share Anniversary Edition,"Cognac","Oak, Cinnamon, Tonka Bean","Vanilla, Praline, Sandalwood", Men, 2022
Valentino, Valentino Uomo Intense,"Mandarin Orange, Nutmeg","Juniper, Sage","Iris, Vanilla, Leather, Tonka Bean, Patchouli", Men, 2022
Armaf, Club de Nuit Intense Man Parfum,"Lemon, Pineapple, Bergamot, Black Currant, Apple","Birch, Jasmine, Rose","Musk, Ambergris, Patchouli, Vanilla", Men, 2022
Kilian, Angels' Share Anniversary Edition,"Cognac","Oak, Cinnamon, Tonka Bean","Vanilla, Praline, Sandalwood", Unisex, 2022
Tom Ford, Ombré Leather Parfum,"Violet Leaf, Cedar","Jasmine Sambac, Orris","Leather, Woody Notes, Tobacco", Unisex, 2022
BDK Parfums, Gris Charnel Extrait,"Cardamom, Black Tea, Fig","Iris, Bourbon Vetiver, Cistus Incanus","Sandalwood, Madagascar Vanilla, Tonka Bean, Cedar, Indonesian Patchouli Leaf", Unisex, 2022
Hermès, Terre d'Hermes Eau Givree,"Citron","Juniper Berries, Timur","Woody Notes, Mineral Notes", Unisex, 2022
Guerlain, Shalimar Millésime Tonka,"Bitter Almond, Bergamot","Iris, Jasmine Sambac, Rose","Tonka Bean, Vanilla", Unisex, 2022
Dior, Vanilla Diorama,"Orange, Pink Pepper, Lemon","Rum, Cacao, Cardamom","Bourbon Vanilla, Sandalwood, Patchouli", Unisex, 2022
Dior, Tobacolor,"Peach, Honey","Citruses, Plum, Amber","Tobacco, Smoke, Honey", Unisex, 2022
Yves Saint Laurent, Babycat,"Black Pepper, Elemi, Pink Pepper","Olibanum, Saffron","Bourbon Vanilla, Suede, Cedar", Unisex, 2022
